Period,CCI,Unemployment Rate,,
2014/01/01,81.2,6.6,,
2014/02/01,81.6,6.7,,
2014/03/01,80,6.7,,
2014/04/01,84.1,6.3,,
2014/05/01,81.9,6.3,,
2014/06/01,82.5,6.1,,
2014/07/01,81.8,6.2,,
2014/08/01,82.5,6.2,,
2014/09/01,84.6,5.9,,
2014/10/01,86.9,5.7,,
2014/11/01,88.8,5.8,,
2014/12/01,93.6,5.6,,
2015/01/01,98.1,5.7,,
2015/02/01,95.4,5.5,,
2015/03/01,93,5.5,,
2015/04/01,95.9,5.4,,
2015/05/01,90.7,5.5,,
2015/06/01,96.1,5.3,,
2015/07/01,93.1,5.2,,
2015/08/01,91.9,5.1,,
2015/09/01,87.2,5,,
2015/10/01,90,5,,
2015/11/01,91.3,5,,
2015/12/01,92.6,5,,
2016/01/01,92,4.9,,
2016/02/01,91.7,4.9,,
2016/03/01,91,5,,
2016/04/01,89,5,,
2016/05/01,94.7,4.7,,
2016/06/01,93.5,4.9,,
2016/07/01,90,4.9,,
2016/08/01,89.8,4.9,,
2016/09/01,91.2,5,,
2016/10/01,87.2,4.9,,
2016/11/01,93.8,4.6,,
2016/12/01,98.2,4.7,,
2017/01/01,98.5,4.8,,
2017/02/01,96.3,4.7,,
2017/03/01,96.9,4.5,,
2017/04/01,97,4.4,,
2017/05/01,97.1,4.3,,
2017/06/01,95,4.3,,
2017/07/01,93.4,4.3,,
2017/08/01,96.8,4.4,,
2017/09/01,95.1,4.2,,
2017/10/01,100.7,4.1,,
2017/11/01,98.5,4.1,,
2017/12/01,95.9,4.1,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,
1900/01/00,,,,