Day,Sales Event
7/12/2014,1
7/13/2014,1
7/19/2014,1
7/20/2014,1
7/26/2014,1
7/27/2014,1
8/2/2014,1
8/3/2014,1
8/9/2014,1
8/10/2014,1
8/16/2014,1
8/17/2014,1
8/23/2014,1
8/24/2014,1
11/22/2014,1
11/23/2014,1
11/29/2014,1
11/30/2014,1
12/6/2014,1
12/7/2014,1
12/13/2014,1
12/14/2014,1
12/20/2014,1
12/21/2014,1
7/11/2015,1
7/12/2015,1
7/18/2015,1
7/19/2015,1
7/25/2015,1
7/26/2015,1
8/1/2015,1
8/2/2015,1
8/8/2015,1
8/9/2015,1
8/15/2015,1
8/16/2015,1
8/22/2015,1
8/23/2015,1
11/7/2015,1
11/8/2015,1
11/14/2015,1
11/15/2015,1
11/21/2015,1
11/22/2015,1
11/28/2015,1
11/29/2015,1
12/5/2015,1
12/6/2015,1
12/12/2015,1
12/13/2015,1
12/19/2015,1
12/20/2015,1
7/2/2016,1
7/3/2016,1
7/9/2016,1
7/10/2016,1
7/16/2016,1
7/17/2016,1
7/23/2016,1
7/24/2016,1
7/30/2016,1
7/31/2016,1
8/6/2016,1
8/7/2016,1
8/13/2016,1
8/14/2016,1
11/12/2016,1
11/13/2016,1
11/19/2016,1
11/20/2016,1
11/26/2016,1
11/27/2016,1
12/3/2016,1
12/4/2016,1
12/10/2016,1
12/11/2016,1
7/8/2017,1
7/9/2017,1
7/15/2017,1
7/16/2017,1
7/22/2017,1
7/23/2017,1
7/29/2017,1
7/30/2017,1
8/5/2017,1
8/6/2017,1
8/12/2017,1
8/13/2017,1
8/19/2017,1
8/20/2017,1
11/11/2017,1
11/12/2017,1
11/18/2017,1
11/19/2017,1
11/25/2017,1
11/26/2017,1
12/2/2017,1
12/3/2017,1
12/9/2017,1
12/10/2017,1
12/16/2017,1
12/17/2017,1
12/23/2017,1
12/24/2017,1