Month,Unemployment rate,CCI
2014 Jan,6.6,99.30618
2014 Feb,6.7,99.37579
2014 Mar,6.7,99.40783
2014 Apr,6.2,99.48036
2014 May,6.3,99.46684
2014 Jun,6.1,99.4406
2014 Jul,6.2,99.43246
2014 Aug,6.1,99.52675
2014 Sep,5.9,99.72976
2014 Oct,5.7,100.0152
2014 Nov,5.8,100.3654
2014 Dec,5.6,100.7537
2015 Jan,5.7,101.0153
2015 Feb,5.5,101.0175
2015 Mar,5.4,100.922
2015 Apr,5.4,100.8678
2015 May,5.6,100.7882
2015 Jun,5.3,100.8022
2015 Jul,5.2,100.6886
2015 Aug,5.1,100.5011
2015 Sep,5,100.332
2015 Oct,5,100.361
2015 Nov,5.1,100.4763
2015 Dec,5,100.5724
2016 Jan,4.9,100.5854
2016 Feb,4.9,100.5484
2016 Mar,5,100.509
2016 Apr,5,100.5308
2016 May,4.8,100.6519
2016 Jun,4.9,100.6301
2016 Jul,4.8,100.4849
2016 Aug,4.9,100.38
2016 Sep,5,100.3611
2016 Oct,4.9,100.4372
2016 Nov,4.7,100.763
2016 Dec,4.7,101.0971
2017 Jan,4.7,101.2437
2017 Feb,4.6,101.2316
2017 Mar,4.4,101.2013
2017 Apr,4.4,101.1621
2017 May,4.4,101.0916
2017 Jun,4.3,100.9869
2017 Jul,4.3,100.9463
2017 Aug,4.4,101.0418
2017 Sep,4.2,101.1613
2017 Oct,4.1,101.3094
2017 Nov,4.2,101.2896
2017 Dec,4.1,101.2079