"Period","variable","value"
2014-01-06,"(Intercept)",152274.527747155
2014-01-13,"(Intercept)",152274.527747155
2014-01-20,"(Intercept)",152274.527747155
2014-01-27,"(Intercept)",152274.527747155
2014-02-03,"(Intercept)",152274.527747155
2014-02-10,"(Intercept)",152274.527747155
2014-02-17,"(Intercept)",152274.527747155
2014-02-24,"(Intercept)",152274.527747155
2014-03-03,"(Intercept)",152274.527747155
2014-03-10,"(Intercept)",152274.527747155
2014-03-17,"(Intercept)",152274.527747155
2014-03-24,"(Intercept)",152274.527747155
2014-03-31,"(Intercept)",152274.527747155
2014-04-07,"(Intercept)",152274.527747155
2014-04-14,"(Intercept)",152274.527747155
2014-04-21,"(Intercept)",152274.527747155
2014-04-28,"(Intercept)",152274.527747155
2014-05-05,"(Intercept)",152274.527747155
2014-05-12,"(Intercept)",152274.527747155
2014-05-19,"(Intercept)",152274.527747155
2014-05-26,"(Intercept)",152274.527747155
2014-06-02,"(Intercept)",152274.527747155
2014-06-09,"(Intercept)",152274.527747155
2014-06-16,"(Intercept)",152274.527747155
2014-06-23,"(Intercept)",152274.527747155
2014-06-30,"(Intercept)",152274.527747155
2014-07-07,"(Intercept)",152274.527747155
2014-07-14,"(Intercept)",152274.527747155
2014-07-21,"(Intercept)",152274.527747155
2014-07-28,"(Intercept)",152274.527747155
2014-08-04,"(Intercept)",152274.527747155
2014-08-11,"(Intercept)",152274.527747155
2014-08-18,"(Intercept)",152274.527747155
2014-08-25,"(Intercept)",152274.527747155
2014-09-01,"(Intercept)",152274.527747155
2014-09-08,"(Intercept)",152274.527747155
2014-09-15,"(Intercept)",152274.527747155
2014-09-22,"(Intercept)",152274.527747155
2014-09-29,"(Intercept)",152274.527747155
2014-10-06,"(Intercept)",152274.527747155
2014-10-13,"(Intercept)",152274.527747155
2014-10-20,"(Intercept)",152274.527747155
2014-10-27,"(Intercept)",152274.527747155
2014-11-03,"(Intercept)",152274.527747155
2014-11-10,"(Intercept)",152274.527747155
2014-11-17,"(Intercept)",152274.527747155
2014-11-24,"(Intercept)",152274.527747155
2014-12-01,"(Intercept)",152274.527747155
2014-12-08,"(Intercept)",152274.527747155
2014-12-15,"(Intercept)",152274.527747155
2014-12-22,"(Intercept)",152274.527747155
2014-12-29,"(Intercept)",152274.527747155
2015-01-05,"(Intercept)",152274.527747155
2015-01-12,"(Intercept)",152274.527747155
2015-01-19,"(Intercept)",152274.527747155
2015-01-26,"(Intercept)",152274.527747155
2015-02-02,"(Intercept)",152274.527747155
2015-02-09,"(Intercept)",152274.527747155
2015-02-16,"(Intercept)",152274.527747155
2015-02-23,"(Intercept)",152274.527747155
2015-03-02,"(Intercept)",152274.527747155
2015-03-09,"(Intercept)",152274.527747155
2015-03-16,"(Intercept)",152274.527747155
2015-03-23,"(Intercept)",152274.527747155
2015-03-30,"(Intercept)",152274.527747155
2015-04-06,"(Intercept)",152274.527747155
2015-04-13,"(Intercept)",152274.527747155
2015-04-20,"(Intercept)",152274.527747155
2015-04-27,"(Intercept)",152274.527747155
2015-05-04,"(Intercept)",152274.527747155
2015-05-11,"(Intercept)",152274.527747155
2015-05-18,"(Intercept)",152274.527747155
2015-05-25,"(Intercept)",152274.527747155
2015-06-01,"(Intercept)",152274.527747155
2015-06-08,"(Intercept)",152274.527747155
2015-06-15,"(Intercept)",152274.527747155
2015-06-22,"(Intercept)",152274.527747155
2015-06-29,"(Intercept)",152274.527747155
2015-07-06,"(Intercept)",152274.527747155
2015-07-13,"(Intercept)",152274.527747155
2015-07-20,"(Intercept)",152274.527747155
2015-07-27,"(Intercept)",152274.527747155
2015-08-03,"(Intercept)",152274.527747155
2015-08-10,"(Intercept)",152274.527747155
2015-08-17,"(Intercept)",152274.527747155
2015-08-24,"(Intercept)",152274.527747155
2015-08-31,"(Intercept)",152274.527747155
2015-09-07,"(Intercept)",152274.527747155
2015-09-14,"(Intercept)",152274.527747155
2015-09-21,"(Intercept)",152274.527747155
2015-09-28,"(Intercept)",152274.527747155
2015-10-05,"(Intercept)",152274.527747155
2015-10-12,"(Intercept)",152274.527747155
2015-10-19,"(Intercept)",152274.527747155
2015-10-26,"(Intercept)",152274.527747155
2015-11-02,"(Intercept)",152274.527747155
2015-11-09,"(Intercept)",152274.527747155
2015-11-16,"(Intercept)",152274.527747155
2015-11-23,"(Intercept)",152274.527747155
2015-11-30,"(Intercept)",152274.527747155
2015-12-07,"(Intercept)",152274.527747155
2015-12-14,"(Intercept)",152274.527747155
2015-12-21,"(Intercept)",152274.527747155
2015-12-28,"(Intercept)",152274.527747155
2016-01-04,"(Intercept)",152274.527747155
2016-01-11,"(Intercept)",152274.527747155
2016-01-18,"(Intercept)",152274.527747155
2016-01-25,"(Intercept)",152274.527747155
2016-02-01,"(Intercept)",152274.527747155
2016-02-08,"(Intercept)",152274.527747155
2016-02-15,"(Intercept)",152274.527747155
2016-02-22,"(Intercept)",152274.527747155
2016-02-29,"(Intercept)",152274.527747155
2016-03-07,"(Intercept)",152274.527747155
2016-03-14,"(Intercept)",152274.527747155
2016-03-21,"(Intercept)",152274.527747155
2016-03-28,"(Intercept)",152274.527747155
2016-04-04,"(Intercept)",152274.527747155
2016-04-11,"(Intercept)",152274.527747155
2016-04-18,"(Intercept)",152274.527747155
2016-04-25,"(Intercept)",152274.527747155
2016-05-02,"(Intercept)",152274.527747155
2016-05-09,"(Intercept)",152274.527747155
2016-05-16,"(Intercept)",152274.527747155
2016-05-23,"(Intercept)",152274.527747155
2016-05-30,"(Intercept)",152274.527747155
2016-06-06,"(Intercept)",152274.527747155
2016-06-13,"(Intercept)",152274.527747155
2016-06-20,"(Intercept)",152274.527747155
2016-06-27,"(Intercept)",152274.527747155
2016-07-04,"(Intercept)",152274.527747155
2016-07-11,"(Intercept)",152274.527747155
2016-07-18,"(Intercept)",152274.527747155
2016-07-25,"(Intercept)",152274.527747155
2016-08-01,"(Intercept)",152274.527747155
2016-08-08,"(Intercept)",152274.527747155
2016-08-15,"(Intercept)",152274.527747155
2016-08-22,"(Intercept)",152274.527747155
2016-08-29,"(Intercept)",152274.527747155
2016-09-05,"(Intercept)",152274.527747155
2016-09-12,"(Intercept)",152274.527747155
2016-09-19,"(Intercept)",152274.527747155
2016-09-26,"(Intercept)",152274.527747155
2016-10-03,"(Intercept)",152274.527747155
2016-10-10,"(Intercept)",152274.527747155
2016-10-17,"(Intercept)",152274.527747155
2016-10-24,"(Intercept)",152274.527747155
2016-10-31,"(Intercept)",152274.527747155
2016-11-07,"(Intercept)",152274.527747155
2016-11-14,"(Intercept)",152274.527747155
2016-11-21,"(Intercept)",152274.527747155
2016-11-28,"(Intercept)",152274.527747155
2016-12-05,"(Intercept)",152274.527747155
2016-12-12,"(Intercept)",152274.527747155
2016-12-19,"(Intercept)",152274.527747155
2016-12-26,"(Intercept)",152274.527747155
2017-01-02,"(Intercept)",152274.527747155
2017-01-09,"(Intercept)",152274.527747155
2017-01-16,"(Intercept)",152274.527747155
2017-01-23,"(Intercept)",152274.527747155
2017-01-30,"(Intercept)",152274.527747155
2017-02-06,"(Intercept)",152274.527747155
2017-02-13,"(Intercept)",152274.527747155
2017-02-20,"(Intercept)",152274.527747155
2017-02-27,"(Intercept)",152274.527747155
2017-03-06,"(Intercept)",152274.527747155
2017-03-13,"(Intercept)",152274.527747155
2017-03-20,"(Intercept)",152274.527747155
2017-03-27,"(Intercept)",152274.527747155
2017-04-03,"(Intercept)",152274.527747155
2017-04-10,"(Intercept)",152274.527747155
2017-04-17,"(Intercept)",152274.527747155
2017-04-24,"(Intercept)",152274.527747155
2017-05-01,"(Intercept)",152274.527747155
2017-05-08,"(Intercept)",152274.527747155
2017-05-15,"(Intercept)",152274.527747155
2017-05-22,"(Intercept)",152274.527747155
2017-05-29,"(Intercept)",152274.527747155
2017-06-05,"(Intercept)",152274.527747155
2017-06-12,"(Intercept)",152274.527747155
2017-06-19,"(Intercept)",152274.527747155
2017-06-26,"(Intercept)",152274.527747155
2017-07-03,"(Intercept)",152274.527747155
2017-07-10,"(Intercept)",152274.527747155
2017-07-17,"(Intercept)",152274.527747155
2017-07-24,"(Intercept)",152274.527747155
2017-07-31,"(Intercept)",152274.527747155
2017-08-07,"(Intercept)",152274.527747155
2017-08-14,"(Intercept)",152274.527747155
2017-08-21,"(Intercept)",152274.527747155
2017-08-28,"(Intercept)",152274.527747155
2017-09-04,"(Intercept)",152274.527747155
2017-09-11,"(Intercept)",152274.527747155
2017-09-18,"(Intercept)",152274.527747155
2017-09-25,"(Intercept)",152274.527747155
2017-10-02,"(Intercept)",152274.527747155
2017-10-09,"(Intercept)",152274.527747155
2017-10-16,"(Intercept)",152274.527747155
2017-10-23,"(Intercept)",152274.527747155
2017-10-30,"(Intercept)",152274.527747155
2017-11-06,"(Intercept)",152274.527747155
2017-11-13,"(Intercept)",152274.527747155
2017-11-20,"(Intercept)",152274.527747155
2017-11-27,"(Intercept)",152274.527747155
2017-12-04,"(Intercept)",152274.527747155
2017-12-11,"(Intercept)",152274.527747155
2017-12-18,"(Intercept)",152274.527747155
2017-12-25,"(Intercept)",152274.527747155
2014-01-06,"July_4th",0
2014-01-13,"July_4th",0
2014-01-20,"July_4th",0
2014-01-27,"July_4th",0
2014-02-03,"July_4th",0
2014-02-10,"July_4th",0
2014-02-17,"July_4th",0
2014-02-24,"July_4th",0
2014-03-03,"July_4th",0
2014-03-10,"July_4th",0
2014-03-17,"July_4th",0
2014-03-24,"July_4th",0
2014-03-31,"July_4th",0
2014-04-07,"July_4th",0
2014-04-14,"July_4th",0
2014-04-21,"July_4th",0
2014-04-28,"July_4th",0
2014-05-05,"July_4th",0
2014-05-12,"July_4th",0
2014-05-19,"July_4th",0
2014-05-26,"July_4th",0
2014-06-02,"July_4th",0
2014-06-09,"July_4th",0
2014-06-16,"July_4th",0
2014-06-23,"July_4th",0
2014-06-30,"July_4th",0
2014-07-07,"July_4th",119526.610095007
2014-07-14,"July_4th",0
2014-07-21,"July_4th",0
2014-07-28,"July_4th",0
2014-08-04,"July_4th",0
2014-08-11,"July_4th",0
2014-08-18,"July_4th",0
2014-08-25,"July_4th",0
2014-09-01,"July_4th",0
2014-09-08,"July_4th",0
2014-09-15,"July_4th",0
2014-09-22,"July_4th",0
2014-09-29,"July_4th",0
2014-10-06,"July_4th",0
2014-10-13,"July_4th",0
2014-10-20,"July_4th",0
2014-10-27,"July_4th",0
2014-11-03,"July_4th",0
2014-11-10,"July_4th",0
2014-11-17,"July_4th",0
2014-11-24,"July_4th",0
2014-12-01,"July_4th",0
2014-12-08,"July_4th",0
2014-12-15,"July_4th",0
2014-12-22,"July_4th",0
2014-12-29,"July_4th",0
2015-01-05,"July_4th",0
2015-01-12,"July_4th",0
2015-01-19,"July_4th",0
2015-01-26,"July_4th",0
2015-02-02,"July_4th",0
2015-02-09,"July_4th",0
2015-02-16,"July_4th",0
2015-02-23,"July_4th",0
2015-03-02,"July_4th",0
2015-03-09,"July_4th",0
2015-03-16,"July_4th",0
2015-03-23,"July_4th",0
2015-03-30,"July_4th",0
2015-04-06,"July_4th",0
2015-04-13,"July_4th",0
2015-04-20,"July_4th",0
2015-04-27,"July_4th",0
2015-05-04,"July_4th",0
2015-05-11,"July_4th",0
2015-05-18,"July_4th",0
2015-05-25,"July_4th",0
2015-06-01,"July_4th",0
2015-06-08,"July_4th",0
2015-06-15,"July_4th",0
2015-06-22,"July_4th",0
2015-06-29,"July_4th",0
2015-07-06,"July_4th",119526.610095007
2015-07-13,"July_4th",0
2015-07-20,"July_4th",0
2015-07-27,"July_4th",0
2015-08-03,"July_4th",0
2015-08-10,"July_4th",0
2015-08-17,"July_4th",0
2015-08-24,"July_4th",0
2015-08-31,"July_4th",0
2015-09-07,"July_4th",0
2015-09-14,"July_4th",0
2015-09-21,"July_4th",0
2015-09-28,"July_4th",0
2015-10-05,"July_4th",0
2015-10-12,"July_4th",0
2015-10-19,"July_4th",0
2015-10-26,"July_4th",0
2015-11-02,"July_4th",0
2015-11-09,"July_4th",0
2015-11-16,"July_4th",0
2015-11-23,"July_4th",0
2015-11-30,"July_4th",0
2015-12-07,"July_4th",0
2015-12-14,"July_4th",0
2015-12-21,"July_4th",0
2015-12-28,"July_4th",0
2016-01-04,"July_4th",0
2016-01-11,"July_4th",0
2016-01-18,"July_4th",0
2016-01-25,"July_4th",0
2016-02-01,"July_4th",0
2016-02-08,"July_4th",0
2016-02-15,"July_4th",0
2016-02-22,"July_4th",0
2016-02-29,"July_4th",0
2016-03-07,"July_4th",0
2016-03-14,"July_4th",0
2016-03-21,"July_4th",0
2016-03-28,"July_4th",0
2016-04-04,"July_4th",0
2016-04-11,"July_4th",0
2016-04-18,"July_4th",0
2016-04-25,"July_4th",0
2016-05-02,"July_4th",0
2016-05-09,"July_4th",0
2016-05-16,"July_4th",0
2016-05-23,"July_4th",0
2016-05-30,"July_4th",0
2016-06-06,"July_4th",0
2016-06-13,"July_4th",0
2016-06-20,"July_4th",0
2016-06-27,"July_4th",0
2016-07-04,"July_4th",119526.610095007
2016-07-11,"July_4th",0
2016-07-18,"July_4th",0
2016-07-25,"July_4th",0
2016-08-01,"July_4th",0
2016-08-08,"July_4th",0
2016-08-15,"July_4th",0
2016-08-22,"July_4th",0
2016-08-29,"July_4th",0
2016-09-05,"July_4th",0
2016-09-12,"July_4th",0
2016-09-19,"July_4th",0
2016-09-26,"July_4th",0
2016-10-03,"July_4th",0
2016-10-10,"July_4th",0
2016-10-17,"July_4th",0
2016-10-24,"July_4th",0
2016-10-31,"July_4th",0
2016-11-07,"July_4th",0
2016-11-14,"July_4th",0
2016-11-21,"July_4th",0
2016-11-28,"July_4th",0
2016-12-05,"July_4th",0
2016-12-12,"July_4th",0
2016-12-19,"July_4th",0
2016-12-26,"July_4th",0
2017-01-02,"July_4th",0
2017-01-09,"July_4th",0
2017-01-16,"July_4th",0
2017-01-23,"July_4th",0
2017-01-30,"July_4th",0
2017-02-06,"July_4th",0
2017-02-13,"July_4th",0
2017-02-20,"July_4th",0
2017-02-27,"July_4th",0
2017-03-06,"July_4th",0
2017-03-13,"July_4th",0
2017-03-20,"July_4th",0
2017-03-27,"July_4th",0
2017-04-03,"July_4th",0
2017-04-10,"July_4th",0
2017-04-17,"July_4th",0
2017-04-24,"July_4th",0
2017-05-01,"July_4th",0
2017-05-08,"July_4th",0
2017-05-15,"July_4th",0
2017-05-22,"July_4th",0
2017-05-29,"July_4th",0
2017-06-05,"July_4th",0
2017-06-12,"July_4th",0
2017-06-19,"July_4th",0
2017-06-26,"July_4th",0
2017-07-03,"July_4th",119526.610095007
2017-07-10,"July_4th",0
2017-07-17,"July_4th",0
2017-07-24,"July_4th",0
2017-07-31,"July_4th",0
2017-08-07,"July_4th",0
2017-08-14,"July_4th",0
2017-08-21,"July_4th",0
2017-08-28,"July_4th",0
2017-09-04,"July_4th",0
2017-09-11,"July_4th",0
2017-09-18,"July_4th",0
2017-09-25,"July_4th",0
2017-10-02,"July_4th",0
2017-10-09,"July_4th",0
2017-10-16,"July_4th",0
2017-10-23,"July_4th",0
2017-10-30,"July_4th",0
2017-11-06,"July_4th",0
2017-11-13,"July_4th",0
2017-11-20,"July_4th",0
2017-11-27,"July_4th",0
2017-12-04,"July_4th",0
2017-12-11,"July_4th",0
2017-12-18,"July_4th",0
2017-12-25,"July_4th",0
2014-01-06,"Black_Friday",0
2014-01-13,"Black_Friday",0
2014-01-20,"Black_Friday",0
2014-01-27,"Black_Friday",0
2014-02-03,"Black_Friday",0
2014-02-10,"Black_Friday",0
2014-02-17,"Black_Friday",0
2014-02-24,"Black_Friday",0
2014-03-03,"Black_Friday",0
2014-03-10,"Black_Friday",0
2014-03-17,"Black_Friday",0
2014-03-24,"Black_Friday",0
2014-03-31,"Black_Friday",0
2014-04-07,"Black_Friday",0
2014-04-14,"Black_Friday",0
2014-04-21,"Black_Friday",0
2014-04-28,"Black_Friday",0
2014-05-05,"Black_Friday",0
2014-05-12,"Black_Friday",0
2014-05-19,"Black_Friday",0
2014-05-26,"Black_Friday",0
2014-06-02,"Black_Friday",0
2014-06-09,"Black_Friday",0
2014-06-16,"Black_Friday",0
2014-06-23,"Black_Friday",0
2014-06-30,"Black_Friday",0
2014-07-07,"Black_Friday",0
2014-07-14,"Black_Friday",0
2014-07-21,"Black_Friday",0
2014-07-28,"Black_Friday",0
2014-08-04,"Black_Friday",0
2014-08-11,"Black_Friday",0
2014-08-18,"Black_Friday",0
2014-08-25,"Black_Friday",0
2014-09-01,"Black_Friday",0
2014-09-08,"Black_Friday",0
2014-09-15,"Black_Friday",0
2014-09-22,"Black_Friday",0
2014-09-29,"Black_Friday",0
2014-10-06,"Black_Friday",0
2014-10-13,"Black_Friday",0
2014-10-20,"Black_Friday",0
2014-10-27,"Black_Friday",0
2014-11-03,"Black_Friday",0
2014-11-10,"Black_Friday",0
2014-11-17,"Black_Friday",0
2014-11-24,"Black_Friday",221347.446191627
2014-12-01,"Black_Friday",0
2014-12-08,"Black_Friday",0
2014-12-15,"Black_Friday",0
2014-12-22,"Black_Friday",0
2014-12-29,"Black_Friday",0
2015-01-05,"Black_Friday",0
2015-01-12,"Black_Friday",0
2015-01-19,"Black_Friday",0
2015-01-26,"Black_Friday",0
2015-02-02,"Black_Friday",0
2015-02-09,"Black_Friday",0
2015-02-16,"Black_Friday",0
2015-02-23,"Black_Friday",0
2015-03-02,"Black_Friday",0
2015-03-09,"Black_Friday",0
2015-03-16,"Black_Friday",0
2015-03-23,"Black_Friday",0
2015-03-30,"Black_Friday",0
2015-04-06,"Black_Friday",0
2015-04-13,"Black_Friday",0
2015-04-20,"Black_Friday",0
2015-04-27,"Black_Friday",0
2015-05-04,"Black_Friday",0
2015-05-11,"Black_Friday",0
2015-05-18,"Black_Friday",0
2015-05-25,"Black_Friday",0
2015-06-01,"Black_Friday",0
2015-06-08,"Black_Friday",0
2015-06-15,"Black_Friday",0
2015-06-22,"Black_Friday",0
2015-06-29,"Black_Friday",0
2015-07-06,"Black_Friday",0
2015-07-13,"Black_Friday",0
2015-07-20,"Black_Friday",0
2015-07-27,"Black_Friday",0
2015-08-03,"Black_Friday",0
2015-08-10,"Black_Friday",0
2015-08-17,"Black_Friday",0
2015-08-24,"Black_Friday",0
2015-08-31,"Black_Friday",0
2015-09-07,"Black_Friday",0
2015-09-14,"Black_Friday",0
2015-09-21,"Black_Friday",0
2015-09-28,"Black_Friday",0
2015-10-05,"Black_Friday",0
2015-10-12,"Black_Friday",0
2015-10-19,"Black_Friday",0
2015-10-26,"Black_Friday",0
2015-11-02,"Black_Friday",0
2015-11-09,"Black_Friday",0
2015-11-16,"Black_Friday",0
2015-11-23,"Black_Friday",0
2015-11-30,"Black_Friday",221347.446191627
2015-12-07,"Black_Friday",0
2015-12-14,"Black_Friday",0
2015-12-21,"Black_Friday",0
2015-12-28,"Black_Friday",0
2016-01-04,"Black_Friday",0
2016-01-11,"Black_Friday",0
2016-01-18,"Black_Friday",0
2016-01-25,"Black_Friday",0
2016-02-01,"Black_Friday",0
2016-02-08,"Black_Friday",0
2016-02-15,"Black_Friday",0
2016-02-22,"Black_Friday",0
2016-02-29,"Black_Friday",0
2016-03-07,"Black_Friday",0
2016-03-14,"Black_Friday",0
2016-03-21,"Black_Friday",0
2016-03-28,"Black_Friday",0
2016-04-04,"Black_Friday",0
2016-04-11,"Black_Friday",0
2016-04-18,"Black_Friday",0
2016-04-25,"Black_Friday",0
2016-05-02,"Black_Friday",0
2016-05-09,"Black_Friday",0
2016-05-16,"Black_Friday",0
2016-05-23,"Black_Friday",0
2016-05-30,"Black_Friday",0
2016-06-06,"Black_Friday",0
2016-06-13,"Black_Friday",0
2016-06-20,"Black_Friday",0
2016-06-27,"Black_Friday",0
2016-07-04,"Black_Friday",0
2016-07-11,"Black_Friday",0
2016-07-18,"Black_Friday",0
2016-07-25,"Black_Friday",0
2016-08-01,"Black_Friday",0
2016-08-08,"Black_Friday",0
2016-08-15,"Black_Friday",0
2016-08-22,"Black_Friday",0
2016-08-29,"Black_Friday",0
2016-09-05,"Black_Friday",0
2016-09-12,"Black_Friday",0
2016-09-19,"Black_Friday",0
2016-09-26,"Black_Friday",0
2016-10-03,"Black_Friday",0
2016-10-10,"Black_Friday",0
2016-10-17,"Black_Friday",0
2016-10-24,"Black_Friday",0
2016-10-31,"Black_Friday",0
2016-11-07,"Black_Friday",0
2016-11-14,"Black_Friday",0
2016-11-21,"Black_Friday",0
2016-11-28,"Black_Friday",221347.446191627
2016-12-05,"Black_Friday",0
2016-12-12,"Black_Friday",0
2016-12-19,"Black_Friday",0
2016-12-26,"Black_Friday",0
2017-01-02,"Black_Friday",0
2017-01-09,"Black_Friday",0
2017-01-16,"Black_Friday",0
2017-01-23,"Black_Friday",0
2017-01-30,"Black_Friday",0
2017-02-06,"Black_Friday",0
2017-02-13,"Black_Friday",0
2017-02-20,"Black_Friday",0
2017-02-27,"Black_Friday",0
2017-03-06,"Black_Friday",0
2017-03-13,"Black_Friday",0
2017-03-20,"Black_Friday",0
2017-03-27,"Black_Friday",0
2017-04-03,"Black_Friday",0
2017-04-10,"Black_Friday",0
2017-04-17,"Black_Friday",0
2017-04-24,"Black_Friday",0
2017-05-01,"Black_Friday",0
2017-05-08,"Black_Friday",0
2017-05-15,"Black_Friday",0
2017-05-22,"Black_Friday",0
2017-05-29,"Black_Friday",0
2017-06-05,"Black_Friday",0
2017-06-12,"Black_Friday",0
2017-06-19,"Black_Friday",0
2017-06-26,"Black_Friday",0
2017-07-03,"Black_Friday",0
2017-07-10,"Black_Friday",0
2017-07-17,"Black_Friday",0
2017-07-24,"Black_Friday",0
2017-07-31,"Black_Friday",0
2017-08-07,"Black_Friday",0
2017-08-14,"Black_Friday",0
2017-08-21,"Black_Friday",0
2017-08-28,"Black_Friday",0
2017-09-04,"Black_Friday",0
2017-09-11,"Black_Friday",0
2017-09-18,"Black_Friday",0
2017-09-25,"Black_Friday",0
2017-10-02,"Black_Friday",0
2017-10-09,"Black_Friday",0
2017-10-16,"Black_Friday",0
2017-10-23,"Black_Friday",0
2017-10-30,"Black_Friday",0
2017-11-06,"Black_Friday",0
2017-11-13,"Black_Friday",0
2017-11-20,"Black_Friday",0
2017-11-27,"Black_Friday",221347.446191627
2017-12-04,"Black_Friday",0
2017-12-11,"Black_Friday",0
2017-12-18,"Black_Friday",0
2017-12-25,"Black_Friday",0
2014-01-06,"CCI",20275.1468823457
2014-01-13,"CCI",20275.1468823457
2014-01-20,"CCI",20275.1468823457
2014-01-27,"CCI",20375.0244531947
2014-02-03,"CCI",20375.0244531947
2014-02-10,"CCI",20375.0244531947
2014-02-17,"CCI",20375.0244531947
2014-02-24,"CCI",19975.5141697987
2014-03-03,"CCI",19975.5141697987
2014-03-10,"CCI",19975.5141697987
2014-03-17,"CCI",19975.5141697987
2014-03-24,"CCI",19975.5141697987
2014-03-31,"CCI",20999.2592710009
2014-04-07,"CCI",20999.2592710009
2014-04-14,"CCI",20999.2592710009
2014-04-21,"CCI",20999.2592710009
2014-04-28,"CCI",20449.9326313314
2014-05-05,"CCI",20449.9326313314
2014-05-12,"CCI",20449.9326313314
2014-05-19,"CCI",20449.9326313314
2014-05-26,"CCI",20599.7489876049
2014-06-02,"CCI",20599.7489876049
2014-06-09,"CCI",20599.7489876049
2014-06-16,"CCI",20599.7489876049
2014-06-23,"CCI",20599.7489876049
2014-06-30,"CCI",20424.9632386192
2014-07-07,"CCI",20424.9632386192
2014-07-14,"CCI",20424.9632386192
2014-07-21,"CCI",20424.9632386192
2014-07-28,"CCI",20599.7489876049
2014-08-04,"CCI",20599.7489876049
2014-08-11,"CCI",20599.7489876049
2014-08-18,"CCI",20599.7489876049
2014-08-25,"CCI",20599.7489876049
2014-09-01,"CCI",21124.1062345621
2014-09-08,"CCI",21124.1062345621
2014-09-15,"CCI",21124.1062345621
2014-09-22,"CCI",21124.1062345621
2014-09-29,"CCI",21698.4022669438
2014-10-06,"CCI",21698.4022669438
2014-10-13,"CCI",21698.4022669438
2014-10-20,"CCI",21698.4022669438
2014-10-27,"CCI",22172.8207284766
2014-11-03,"CCI",22172.8207284766
2014-11-10,"CCI",22172.8207284766
2014-11-17,"CCI",22172.8207284766
2014-11-24,"CCI",22172.8207284766
2014-12-01,"CCI",23371.3515786645
2014-12-08,"CCI",23371.3515786645
2014-12-15,"CCI",23371.3515786645
2014-12-22,"CCI",23371.3515786645
2014-12-29,"CCI",24494.9742507156
2015-01-05,"CCI",24494.9742507156
2015-01-12,"CCI",24494.9742507156
2015-01-19,"CCI",24494.9742507156
2015-01-26,"CCI",23820.8006474849
2015-02-02,"CCI",23820.8006474849
2015-02-09,"CCI",23820.8006474849
2015-02-16,"CCI",23820.8006474849
2015-02-23,"CCI",23221.535222391
2015-03-02,"CCI",23221.535222391
2015-03-09,"CCI",23221.535222391
2015-03-16,"CCI",23221.535222391
2015-03-23,"CCI",23221.535222391
2015-03-30,"CCI",23945.6476110462
2015-04-06,"CCI",23945.6476110462
2015-04-13,"CCI",23945.6476110462
2015-04-20,"CCI",23945.6476110462
2015-04-27,"CCI",22647.2391900093
2015-05-04,"CCI",22647.2391900093
2015-05-11,"CCI",22647.2391900093
2015-05-18,"CCI",22647.2391900093
2015-05-25,"CCI",22647.2391900093
2015-06-01,"CCI",23995.5863964707
2015-06-08,"CCI",23995.5863964707
2015-06-15,"CCI",23995.5863964707
2015-06-22,"CCI",23995.5863964707
2015-06-29,"CCI",23246.5046151032
2015-07-06,"CCI",23246.5046151032
2015-07-13,"CCI",23246.5046151032
2015-07-20,"CCI",23246.5046151032
2015-07-27,"CCI",22946.8719025563
2015-08-03,"CCI",22946.8719025563
2015-08-10,"CCI",22946.8719025563
2015-08-17,"CCI",22946.8719025563
2015-08-24,"CCI",22946.8719025563
2015-08-31,"CCI",21773.3104450806
2015-09-07,"CCI",21773.3104450806
2015-09-14,"CCI",21773.3104450806
2015-09-21,"CCI",21773.3104450806
2015-09-28,"CCI",22472.4534410235
2015-10-05,"CCI",22472.4534410235
2015-10-12,"CCI",22472.4534410235
2015-10-19,"CCI",22472.4534410235
2015-10-26,"CCI",22797.0555462828
2015-11-02,"CCI",22797.0555462828
2015-11-09,"CCI",22797.0555462828
2015-11-16,"CCI",22797.0555462828
2015-11-23,"CCI",22797.0555462828
2015-11-30,"CCI",23121.657651542
2015-12-07,"CCI",23121.657651542
2015-12-14,"CCI",23121.657651542
2015-12-21,"CCI",23121.657651542
